RxNID,TXNID,PacketNo,RSSI
1,1,24,-35
1,1,20,-35
1,1,21,-35
1,1,22,-35
1,1,23,-35
2,1,21,-32
2,1,22,-32
2,1,23,-32
2,1,24,-32
2,1,20,-32
0,1,20,-36
0,1,21,-36
0,1,22,-36
0,1,23,-36
0,1,24,-36
1,1,29,-35
1,1,25,-35
1,1,26,-35
1,1,27,-35
1,1,28,-35
2,1,26,-32
2,1,27,-32
2,1,28,-32
2,1,29,-32
2,1,25,-32
0,1,25,-36
0,1,26,-36
0,1,27,-36
0,1,28,-36
0,1,29,-36
1,1,34,-35
1,1,30,-35
1,1,31,-35
1,1,32,-35
1,1,33,-35
2,1,31,-32
2,1,32,-32
2,1,33,-32
2,1,34,-32
2,1,30,-32
0,1,30,-36
0,1,31,-36
0,1,32,-36
0,1,33,-36
0,1,34,-36
1,1,39,-35
1,1,35,-35
1,1,36,-35
1,1,37,-35
1,1,38,-35
2,1,36,-32
2,1,37,-32
2,1,38,-32
2,1,39,-32
2,1,35,-32
0,1,35,-36
0,1,36,-36
0,1,37,-36
0,1,38,-36
0,1,39,-36
1,1,44,-35
1,1,40,-35
1,1,41,-35
1,1,42,-35
1,1,43,-35
2,1,41,-32
2,1,42,-32
2,1,43,-32
2,1,44,-32
2,1,40,-32
0,1,40,-36
0,1,41,-36
0,1,42,-36
0,1,43,-36
0,1,44,-36
1,1,49,-35
1,1,45,-35
1,1,46,-35
1,1,47,-35
1,1,48,-35
2,1,46,-32
2,1,47,-32
2,1,48,-32
2,1,49,-32
2,1,45,-32
0,1,45,-36
0,1,46,-36
0,1,47,-36
0,1,48,-36
0,1,49,-36
1,1,54,-35
1,1,50,-35
1,1,51,-35
1,1,52,-35
1,1,53,-35
2,1,51,-32
2,1,52,-32
2,1,53,-32
2,1,54,-32
2,1,50,-32
0,1,50,-36
0,1,51,-36
0,1,52,-36
0,1,53,-36
0,1,54,-36
1,1,59,-35
1,1,55,-35
1,1,56,-35
1,1,57,-35
1,1,58,-35
